TimeStamp,MaxX,MaxY,MaxMagnitude,MinMagnitude,AverageMagnitude,DiffMagnitude,MaxTiltAngleX,AverageTiltAngleX,MinTiltAngleX,MaxZ,MaxTiltAngleY,MinTiltAngleY,AverageTiltAngleY,MaxTiltAngleZ,MinTiltAngleZ,AverageTiltAngleZ,MinX,MinY,MinZ,AverageX,AverageY,AverageZ,Situation,Activity
9102016,128,311,701.5874856,495.9526187,23.43426423,205.6348669,0.211331522,0.000455684,-0.168104556,629,0.480220593,0.086812605,0.27532295,1.472844726,1.090403419,1.280116051,-89,46,477,0.6,150.4933333,524.44,운반,물건 내리기
9102016,200,341,593.6943658,465.3815639,23.201899,128.3128019,0.366775495,0.083432286,-0.169243631,547,0.709896298,0.190237534,0.386158652,1.369664723,0.829751831,1.150948153,-100,88,386,44.68493151,202.4246575,487.8630137,운반,물건 내리기
9102016,113,567,648.433497,326.8164623,22.33029408,321.6170347,0.18478379,-0.193800435,-0.696979718,386,1.105478195,0.605829614,0.909649489,0.807353926,0.462143855,0.576421383,-228,207,163,-76.35897436,400.2948718,274.525641,운반,물건 내리기
9102016,123,568,697.2538992,377.5155626,22.13703416,319.7383366,0.219921146,-0.076514807,-0.284743462,694,1.0246818,-0.107773346,0.276927036,1.528811274,0.540464995,1.232546385,-123,-75,336,-34.4,131.7866667,450.2666667,휴식,앉아 있음
9102016,153,566,777.5313499,343.5898718,23.78737487,433.9414781,0.253382885,-0.178702575,-0.340422967,736,1.289567408,-0.414516163,0.288308381,1.394991369,0.244146592,0.925592473,-254,-257,117,-103.8101266,93.88607595,436.2531646,휴식,앉아 있음
9102016,164,578,668.6531238,338.0014793,22.43426785,330.6516445,0.331685668,-0.055649489,-0.319104074,524,1.55748226,0.484053924,1.127909794,1.004301297,-0.161597409,0.401522412,-180,261,-87,-28.7761194,444.3731343,192.1791045,휴식,앉아 있음
9102016,123,643,648.5992599,413.4380244,22.54163127,235.1612356,0.249189185,0.164747618,0.049258172,17,1.501699499,1.29982161,1.382497131,0.032483847,-0.209902869,-0.077936864,29,409,-117,82.90140845,499.3661972,-40.1971831,휴식,앉아 있음
9102016,111,617,619.4860773,431.2505072,22.53048557,188.2355701,0.215772288,0.081488179,-0.070335419,188,1.492520544,1.201317446,1.327060007,0.368252365,-0.241122994,0.100089898,-35,424,-124,41.65789474,491.9868421,47.28947368,휴식,앉아 있음
9102016,10,493,547.7353375,463.2008204,22.56316237,84.53451717,0.020785275,-0.07157382,-0.187164279,269,1.196975502,0.975830048,1.092107543,0.594961568,0.372408278,0.470465739,-91,393,188,-36.62337662,451.5974026,230.1038961,휴식,앉아 있음
9102016,-24,531,574.3535497,466.208108,22.62789835,108.1454416,-0.048922979,-0.184542813,-0.384790768,270,1.227412987,0.99331337,1.122521515,0.561480416,0.182333961,0.372781732,-193,415,104,-94.21917808,461.3561644,184.0821918,휴식,앉아 있음
9102016,-114,546,585.1017006,486.8079704,22.69281606,98.29373021,-0.225968013,-0.274294856,-0.309120159,149,1.215530222,1.150872913,1.179236441,0.300043964,0.192608404,0.2713978,-178,451,111,-139.527027,476.0135135,137.9054054,휴식,앉아 있음
